composite_error,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,error_message,sigma_exc,sigma_inh,g_exc,g_inh
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,1. mV,-0.475 mV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.05,0.3,1. mV,-300. uV
,1.57,0.0,6.069708517540586,157000000.0,0.25866151487553735,,,0.2,0.1,0.5 mV,-1. mV
0.08050969457452922,0.007455108453830794,0.9640780489345417,0.27049219453182505,0.007732888830671932,0.027561270175408537,0.14535514778049186,,0.2,0.1,0.5 mV,-0.825 mV
0.012071034782890119,0.0007837333959026527,0.910197683782456,0.4338051570715384,0.0008610584285769139,0.0018066484068408803,0.022902775145897735,,0.2,0.1,0.5 mV,-0.65 mV
0.04511434336545851,0.0005256077493263067,0.8804441683408857,0.504636008896953,0.0005969802086905328,0.0010415581529253021,0.08945387534453259,,0.2,0.1,0.5 mV,-0.475 mV
0.08632334080517282,0.002707848695121529,0.8520697714604104,0.5658389388936598,0.0031779658826538767,0.004785546750133478,0.16882568338069992,,0.2,0.1,0.5 mV,-300. uV
0.010111052184008738,0.0030889183978561885,0.9125740092167469,0.42775245146096513,0.003384841484428163,0.007221275733911416,0.01530268918379601,,0.2,0.1,0.625 mV,-1. mV
0.04625315348846017,0.00823850655218572,0.877222222788668,0.5118494262637544,0.009391584303552943,0.01609556664412562,0.08043312973713833,,0.2,0.1,0.625 mV,-0.825 mV
0.09610496889290253,0.00013042783155192694,0.8457602674990461,0.5788252231202954,0.0001542137116413274,0.00022533197646229825,0.19202727676823533,,0.2,0.1,0.625 mV,-0.65 mV
0.14992490378981396,0.0025142489678722235,0.8197206758909383,0.6305420266923523,0.003067202049609783,0.003987440743738007,0.29641451005236685,,0.2,0.1,0.625 mV,-0.475 mV
0.20534073195920383,0.0015997847768567386,0.7910383263929363,0.6847026313053991,0.002022385898705761,0.00233646652387872,0.4085334457696327,,0.2,0.1,0.625 mV,-300. uV
0.08421145967796624,0.001319795177175509,0.8437488855638775,0.5829242588151302,0.0015642037389494768,0.0022640937604109413,0.1665787596083984,,0.2,0.1,0.75 mV,-1. mV
0.15076671911101874,0.0036916976120360263,0.812072156126222,0.6452380463517084,0.004546021605008709,0.005721450607120188,0.2965172450161842,,0.2,0.1,0.75 mV,-0.825 mV
0.21757170566938078,0.0005243743799456801,0.7818111903664874,0.7016295309386203,0.0006707174055575958,0.0007473664616769861,0.4344420343107562,,0.2,0.1,0.75 mV,-0.65 mV
0.3026291094367226,0.003313110625402294,0.7522472771006012,0.7545729518854272,0.004404283913302059,0.004390709496177846,0.6008593647269929,,0.2,0.1,0.75 mV,-0.475 mV
0.38338433737274163,0.004955640016678142,0.7241392717403682,0.8034569397351449,0.006843490115282725,0.0061678974585890585,0.760195421692878,,0.2,0.1,0.75 mV,-300. uV
0.22796303403988877,0.0026974729214042092,0.7764065046214644,0.7114478714802496,0.0034743048526832067,0.003791525745648525,0.4523248748699082,,0.2,0.1,0.875 mV,-1. mV
0.2974887976414278,0.00667172263505833,0.7453331963154181,0.7667123369202662,0.00895132885335974,0.008701728554228485,0.5861261065491484,,0.2,0.1,0.875 mV,-0.825 mV
0.38273112265014364,0.003694775641566172,0.7137002356452966,0.8213309062972451,0.005176929199772822,0.004498522596967766,0.7605566787416365,,0.2,0.1,0.875 mV,-0.65 mV
0.454860514635372,0.01777657129192778,0.6906582370762939,0.8603605696122755,0.02573859266457739,0.02066176893710837,0.8860131660971543,,0.2,0.1,0.875 mV,-0.475 mV
0.5596645999105654,0.03221622786092815,0.6662490154987151,0.9012122570951264,0.048354634120196964,0.035747658342742225,1.0760173560119157,,0.2,0.1,0.875 mV,-300. uV
0.3727835292254279,0.008357402061907493,0.7105719133133631,0.8266620922905396,0.011761514616194409,0.010109816501625905,0.7344662230804888,,0.2,0.1,1. mV,-1. mV
0.48379239315349776,0.01849924680373305,0.6861663566530662,0.8679114743702443,0.02696029374620526,0.0213146701593686,0.9428827419955249,,0.2,0.1,1. mV,-0.825 mV
0.5629789036899268,0.037199840324198874,0.6601301692392929,0.9113925851569257,0.05635227943534781,0.04081648340138045,1.0758198463580926,,0.2,0.1,1. mV,-0.65 mV
