composite_error,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,error_message,g_cosine,glob_inh,w_inh
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.88877756 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.9008016 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.91883768 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.89779559 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.90681363 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.90981964 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.89178357 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.88577154 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.95190381 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.88276553 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.87975952 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.97294589 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.87374749 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.87675351 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.87074148 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.86773547 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.86472946 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.86172345 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.85871743 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.85571142 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.84669339 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.85270541 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.8496994 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.84368737 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.84068136 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.83466934 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.83767535 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.82865731 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.83166333 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.81663327 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.81963928 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,10. uV,True,-1.8256513 mV
